Daily / Cumulative,Indicator,Date,Event,region,City,Cases
Daily,Cases,3/2/2020,First case of COVID-19,Eastern Region,Qatif,1
Daily,Cases,3/4/2020,Umrah suspension,Eastern Region,Qatif,1
Daily,Cases,3/7/2020,,Eastern Region,Qatif,2
Daily,Cases,3/8/2020,,Total,Total,4
Daily,Cases,3/10/2020,,Eastern Region,Dammam,4
Daily,Cases,3/12/2020,,Mecca,Mecca,21
Daily,Cases,3/13/2020,,Mecca,Mecca,26
Daily,Cases,3/16/2020,Gov / private suspension,Riyadh,Riyadh,4
Daily,Cases,3/16/2020,Gov / private suspension,Mecca,Mecca,2
Daily,Cases,3/16/2020,Gov / private suspension,Mecca,Jeddah,5
Daily,Cases,3/17/2020,,Eastern Region,Qatif,10
Daily,Cases,3/18/2020,,Eastern Region,Dammam,23
Daily,Cases,3/19/2020,,Eastern Region,Qatif,4
Daily,Cases,3/19/2020,,Eastern Region,Dammam,3
Daily,Cases,3/20/2020,,Eastern Region,Qatif,?
Daily,Cases,3/20/2020,,Al Bahah,Al Bahah,?
Daily,Cases,3/20/2020,,Asir,Bisha,1
Daily,Cases,3/20/2020,,Mecca,Jeddah,11
Daily,Cases,3/23/2020,Curfew started for 21 days (6am -7 pm),Mecca,Taif,6
Daily,Cases,3/23/2020,Curfew started for 21 days (6am -7 pm),Riyadh,Riyadh,18
Daily,Cases,3/24/2020,,Eastern Region,Dammam,6
Daily,Cases,3/24/2020,,Total,Total,205
Daily,Cases,3/24/2020,,Mecca,Jeddah,82
Daily,Cases,3/26/2020,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)",Eastern Region,Hufof,2
Daily,Cases,3/26/2020,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)",Mecca,Mecca,26
Daily,Cases,3/26/2020,"Riyadh, Makkah and Madinah lockdown - curfew (6am - 3pm)",Mecca,Jeddah,13
Daily,Cases,3/27/2020,,Qassim,Buraydah,2
Daily,Cases,3/27/2020,,Eastern Region,Dammam,4
Daily,Cases,3/27/2020,,Eastern Region,Khobar,1
Daily,Cases,3/27/2020,,Eastern Region,Dahran,2
Daily,Cases,3/29/2020,Jeddah lockdown,Mecca,Taif,1
Daily,Cases,3/29/2020,Jeddah lockdown,Medina,Medina,14
Daily,Cases,3/30/2020,Makkah lockdown,Qassim,Ar Rass,1
Daily,Cases,3/30/2020,Makkah lockdown,Riyadh,Al Duwadimi,1
Daily,Cases,3/30/2020,Makkah lockdown,Mecca,Jeddah,9
Daily,Cases,3/30/2020,Makkah lockdown,Medina,Medina,22
Daily,Cases,3/31/2020,,Eastern Region,Khobar,4
Daily,Cases,3/31/2020,,Mecca,Jeddah,29
Daily,Cases,3/31/2020,,Jazan,Jazan,2
Daily,Cases,3/31/2020,,Qassim,Al Badayea,1
Daily,Cases,3/31/2020,,Eastern Region,Ras Tanura,1
Daily,Cases,4/1/2020,,Qassim,Al Hanakia,1
Daily,Cases,4/1/2020,,Mecca,Jeddah,3
Daily,Cases,4/2/2020,"Makkah , Madinah 24 hours curfew",Total,Total,165
Daily,Cases,4/2/2020,"Makkah , Madinah 24 hours curfew",Mecca,Jeddah,30
Daily,Cases,4/3/2020,,Eastern Region,Hufof,4
Daily,Cases,4/3/2020,,Qassim,Buraydah,9
Daily,Cases,4/3/2020,,Mecca,Mecca,21
Daily,Cases,4/3/2020,,Najran,Najran,3
Daily,Cases,4/3/2020,,Medina,Medina,34
Daily,Cases,4/4/2020,Jeddah areas lockdown - 24 h curfew,Mecca,Taif,4
Daily,Cases,4/4/2020,Jeddah areas lockdown - 24 h curfew,Asir,Abha,?
Daily,Cases,4/4/2020,Jeddah areas lockdown - 24 h curfew,Eastern Region,Khobar,4
Daily,Cases,4/5/2020,,Asir,Abha,2
Daily,Cases,4/6/2020,"Riyadh, Dammam , Tabuk , Dahran, Hafuf, Jeddah, Taif, Qatif , Khobar24h curfew",Najran,Sharorah,4
Daily,Cases,4/6/2020,"Riyadh, Dammam , Tabuk , Dahran, Hafuf, Jeddah, Taif, Qatif , Khobar24h curfew",Riyadh,Riyadh,65
Daily,Cases,4/7/2020,,Riyadh,Riyadh,97
Daily,Cases,4/7/2020,,Mecca,Mecca,51
Daily,Cases,4/7/2020,,Tabuk,Tabuk,3
Daily,Cases,4/8/2020,,Tabuk,Tabuk,26
Daily,Cases,4/8/2020,,Riyadh,Diriyah,4
Daily,Cases,4/8/2020,,Qassim,Riyadh Al Khabra,1
Daily,Cases,4/8/2020,,Asir,Khamis Mushait,1
Daily,Cases,4/8/2020,,Mecca,Jeddah,45
Daily,Cases,4/9/2020,,Qassim,Buraydah,9
Daily,Cases,4/9/2020,,Riyadh,Riyadh,69
Daily,Cases,4/9/2020,,Mecca,Jeddah,54
Daily,Cases,4/9/2020,,Mecca,Khulais,1
Daily,Cases,4/10/2020,,Medina,Yanbu,5
Daily,Cases,4/10/2020,,Hail,Al Shamly,1
Daily,Cases,4/10/2020,,Eastern Region,Khobar,1
Daily,Cases,4/11/2020,,Riyadh,Riyadh,198
Daily,Cases,4/11/2020,,Eastern Region,Qatif,3
Daily,Cases,4/11/2020,,Mecca,Jeddah,19
Daily,Cases,4/11/2020,,Jazan,Sabya,2
Daily,Cases,4/12/2020,,Total,Total,472
Daily,Cases,4/12/2020,,Asir,Ahad Rafidah,1
Daily,Cases,4/12/2020,,Eastern Region,Dahran,1
Daily,Cases,4/13/2020,,Hail,Ha'il,1
Daily,Cases,4/14/2020,,Medina,Yanbu,4
Daily,Cases,4/14/2020,,Eastern Region,Hufof,86
Daily,Cases,4/14/2020,,Mecca,Taif,9
Daily,Cases,4/14/2020,,Riyadh,Riyadh,56
Daily,Cases,4/14/2020,,Eastern Region,Jubail,6
Daily,Cases,4/14/2020,,Mecca,Alqarei,1
Daily,Cases,4/14/2020,,Eastern Region,Ras Tanura,2
Daily,Cases,4/15/2020,,Mecca,Adham,1
Daily,Cases,4/15/2020,,Mecca,Mecca,58
Daily,Cases,4/15/2020,,Asir,Abha,2
Daily,Cases,4/15/2020,,Asir,Khamis Mushait,?
Daily,Cases,4/15/2020,,Jazan,Al Tuwal,2
Daily,Cases,4/16/2020,,Medina,Yanbu,1
Daily,Cases,4/16/2020,,Eastern Region,Jubail,4
Daily,Cases,4/16/2020,,Total,Total,762
Daily,Cases,4/16/2020,,Mecca,Jeddah,142
Daily,Cases,4/17/2020,,Asir,Abha,2
Daily,Cases,4/17/2020,,Total,Total,1132
Daily,Cases,4/17/2020,,Eastern Region,Khobar,4
Daily,Cases,4/17/2020,,Mecca,Jeddah,236
Daily,Cases,4/17/2020,,Mecca,Al Muzaylif,1
Daily,Cases,4/18/2020,,Hail,Ha'il,4
Daily,Cases,4/18/2020,,Riyadh,Riyadh,85
Daily,Cases,4/18/2020,,Total,Total,1088
Daily,Cases,4/18/2020,,Mecca,Jeddah,210
Daily,Cases,4/18/2020,,Eastern Region,Ras Tanura,3
Daily,Cases,4/18/2020,,Medina,Medina,177
Daily,Cases,4/19/2020,,Medina,Yanbu,?
Daily,Cases,4/19/2020,,Asir,Abha,3
Daily,Cases,4/19/2020,,Eastern Region,Khobar,5
Daily,Cases,4/20/2020,,Qassim,Unayzah,2
Daily,Cases,4/20/2020,,Riyadh,Riyadh,148
Daily,Cases,4/20/2020,,Mecca,Mecca,305
Daily,Cases,4/20/2020,,Eastern Region,Jubail,12
Daily,Cases,4/20/2020,,Asir,Muhayil Aseer,1
Daily,Cases,4/20/2020,,Mecca,Alqarei,?
Daily,Cases,4/21/2020,,Hail,Ha'il,2
Daily,Cases,4/21/2020,,Mecca,Taif,14
Daily,Cases,4/21/2020,,Total,Total,1141
Daily,Cases,4/22/2020,,Mecca,Umm Aldoom,1
Daily,Cases,4/22/2020,,Mecca,Al Khurma,1
Daily,Cases,4/23/2020,,Hail,Ha'il,7
Daily,Cases,4/23/2020,,Al Jouf,Tabarjal,1
Daily,Cases,4/23/2020,,Mecca,Mecca,242
Daily,Cases,4/23/2020,,Riyadh,Howtat Sudair,1
Daily,Cases,4/23/2020,,Asir,Bisha,16
Daily,Cases,4/23/2020,,Eastern Region,Khobar,30
Daily,Cases,4/23/2020,,Mecca,Jeddah,210
Daily,Cases,4/23/2020,,Riyadh,Howtat Bani Tamim,1
Daily,Cases,4/23/2020,,Asir,Thurayban,5
Daily,Cases,4/23/2020,,Mecca,Alhada,10
Daily,Cases,4/23/2020,,Tabuk,Duba,3
Daily,Cases,4/24/2020,,Medina,Yanbu,13
Daily,Cases,4/24/2020,,Eastern Region,Hufof,34
Daily,Cases,4/24/2020,,Mecca,Taif,27
Daily,Cases,4/24/2020,,Al Bahah,Al Makhwa,2
Daily,Cases,4/24/2020,,Al Bahah,Al Bahah,6
Daily,Cases,4/24/2020,,Tabuk,Tabuk,2
Daily,Cases,4/24/2020,,Qassim,Al Mithnab,12
Daily,Cases,4/24/2020,,Riyadh,Az Zulfi,1
Daily,Cases,4/24/2020,,Riyadh,Kharj,1
Daily,Cases,4/24/2020,,Mecca,Bani Malek,1
Daily,Cases,4/25/2020,Partial lifting of curfew in all cities except Makkah,Eastern Region,Hufof,17
Daily,Cases,4/25/2020,Partial lifting of curfew in all cities except Makkah,Mecca,Mecca,272
Daily,Cases,4/25/2020,Partial lifting of curfew in all cities except Makkah,Eastern Region,Dammam,51
Daily,Cases,4/25/2020,Partial lifting of curfew in all cities except Makkah,Asir,Khamis Mushait,1
Daily,Cases,4/25/2020,Partial lifting of curfew in all cities except Makkah,Mecca,Khulais,3
Daily,Cases,4/26/2020,,Mecca,Taif,5
Daily,Cases,4/26/2020,,Eastern Region,Qatif,7
Daily,Cases,4/26/2020,,Jazan,Baish,126
Daily,Cases,4/27/2020,,Riyadh,Wadi Addawasir,1
Daily,Cases,4/27/2020,,Qassim,Buraydah,8
Daily,Cases,4/27/2020,,Eastern Region,Ras Tanura,4
Daily,Cases,4/27/2020,,Eastern Region,Dahran,1
Daily,Cases,4/27/2020,,Asir,Al Majarda,2
Daily,Cases,4/28/2020,,Medina,Yanbu,2
Daily,Cases,4/28/2020,,Riyadh,Sajer,1
Daily,Cases,4/28/2020,,Qassim,Al Mithnab,2
Daily,Cases,4/28/2020,,Total,Total,1325
Daily,Cases,4/28/2020,,Asir,Thurayban,1
Daily,Cases,4/28/2020,,Al Bahah,Al Mandaq,4
Daily,Cases,4/29/2020,,Riyadh,Wadi Addawasir,1
Daily,Cases,4/29/2020,,Riyadh,Muzahmiya,3
Daily,Cases,4/29/2020,,Riyadh,Riyadh,440
Daily,Cases,4/29/2020,,Al Bahah,Al Bahah,1
Daily,Cases,4/29/2020,,Mecca,Mecca,392
Daily,Cases,4/29/2020,,Tabuk,Tabuk,4
Daily,Cases,4/29/2020,,Eastern Region,Dammam,110
Daily,Cases,4/29/2020,,Asir,Khamis Mushait,1
Daily,Cases,4/29/2020,,Total,Total,1351
Daily,Cases,4/29/2020,,Eastern Region,Khobar,7
Daily,Cases,4/29/2020,,Eastern Region,Ras Tanura,3
Daily,Cases,4/29/2020,,Medina,Medina,119
Daily,Cases,4/30/2020,,Al Bahah,Al Makhwa,5
Daily,Cases,5/1/2020,,Northern Borders,Arar,1
Daily,Cases,5/1/2020,,Mecca,Mecca,244
Daily,Cases,5/1/2020,,Eastern Region,Dammam,126
Daily,Cases,5/1/2020,,Riyadh,Kharj,6
Daily,Cases,5/1/2020,,Mecca,Al Qunfudhah,2
Daily,Cases,5/1/2020,,Asir,Al Majarda,2
Daily,Cases,5/2/2020,,Eastern Region,Hufof,55
Daily,Cases,5/2/2020,,Mecca,Adham,1
Daily,Cases,5/2/2020,,Riyadh,Az Zulfi,12
Daily,Cases,5/2/2020,,Eastern Region,Nairyah,6
Daily,Cases,5/2/2020,,Mecca,Jeddah,245
Daily,Cases,5/2/2020,,Eastern Region,Dahran,32
Daily,Cases,5/2/2020,,Asir,Al Majarda,17
Daily,Cases,5/3/2020,,Al Jouf,Tabarjal,1
Daily,Cases,5/3/2020,,Eastern Region,Safwa,13
Daily,Cases,5/3/2020,,Northern Borders,Arar,4
Daily,Cases,5/3/2020,,Qassim,Ar Rass,1
Daily,Cases,5/3/2020,,Tabuk,Tabuk,4
Daily,Cases,5/3/2020,,Riyadh,Kharj,4
Daily,Cases,5/3/2020,,Riyadh,Diriyah,5
Daily,Cases,5/3/2020,,Eastern Region,Al Jafr,4
Daily,Cases,5/3/2020,,Jazan,Sabya,1
Daily,Cases,5/3/2020,,Medina,Khaybar,1
Daily,Cases,5/3/2020,,Medina,Medina,152
Daily,Cases,5/4/2020,,Eastern Region,Hufof,101
Daily,Cases,5/4/2020,,Al Bahah,Al Makhwa,1
Daily,Cases,5/4/2020,,Riyadh,Az Zulfi,5
Daily,Cases,5/4/2020,,Total,Total,1595
Daily,Cases,5/4/2020,,Jazan,Baish,14
Daily,Cases,5/5/2020,,Mecca,Taif,163
Daily,Cases,5/5/2020,,Mecca,Qiya,3
Daily,Cases,5/5/2020,,Tabuk,Umluj,9
Daily,Cases,5/5/2020,,Jazan,Sabya,22
Daily,Cases,5/5/2020,,Qassim,Al Badayea,1
Daily,Cases,5/6/2020,,Qassim,Al Bukayriyah,1
Daily,Cases,5/6/2020,,Eastern Region,Salwa,4
Daily,Cases,5/7/2020,,Riyadh,Al Duwadimi,1
Daily,Cases,5/7/2020,,Eastern Region,Al Jafr,2
Daily,Cases,5/7/2020,,Asir,Khamis Mushait,1
Daily,Cases,5/7/2020,,Mecca,Al Qunfudhah,7
Daily,Cases,5/7/2020,,Tabuk,Umluj,1
Daily,Cases,5/7/2020,,Jazan,Sabya,2
Daily,Cases,5/7/2020,,Jazan,Baish,75
Daily,Cases,5/7/2020,,Asir,Tathleeth,1
Daily,Cases,5/8/2020,,Riyadh,Wadi Addawasir,1
Daily,Cases,5/8/2020,,Riyadh,Riyadh,316
Daily,Cases,5/8/2020,,Tabuk,Tabuk,12
Daily,Cases,5/8/2020,,Eastern Region,Dammam,111
Daily,Cases,5/8/2020,,Eastern Region,Nairyah,4
Daily,Cases,5/8/2020,,Eastern Region,Jubail,67
Daily,Cases,5/8/2020,,Qassim,Al Badayea,1
Daily,Cases,5/8/2020,,Eastern Region,Ras Tanura,7
Daily,Cases,5/9/2020,,Eastern Region,Qatif,16
Daily,Cases,5/9/2020,,Mecca,Mecca,438
Daily,Cases,5/9/2020,,Riyadh,Kharj,4
Daily,Cases,5/9/2020,,Mecca,Hadda,40
Daily,Cases,5/9/2020,,Total,Total,1912
Daily,Cases,5/9/2020,,Qassim,Al Badayea,4
Daily,Cases,5/10/2020,,Medina,Yanbu,9
Daily,Cases,5/10/2020,,Eastern Region,Hufof,137
Daily,Cases,5/10/2020,,Qassim,Unayzah,2
Daily,Cases,5/10/2020,,Eastern Region,Qatif,23
Daily,Cases,5/10/2020,,Eastern Region,Dammam,95
Daily,Cases,5/10/2020,,Qassim,Al Mithnab,1
Daily,Cases,5/10/2020,,Mecca,Hadda,39
Daily,Cases,5/10/2020,,Total,Total,1966
Daily,Cases,5/10/2020,,Najran,Najran,1
Daily,Cases,5/10/2020,,Eastern Region,Hafr Al Batin,1
Daily,Cases,5/11/2020,,Hail,Ha'il,16
Daily,Cases,5/11/2020,,Riyadh,Wadi Addawasir,4
Daily,Cases,5/11/2020,,Eastern Region,Safwa,3
Daily,Cases,5/11/2020,,Al Jouf,Sakakah,1
Daily,Cases,5/11/2020,,Eastern Region,Dammam,78
Daily,Cases,5/11/2020,,Eastern Region,Hafr Al Batin,2
Daily,Cases,5/11/2020,,Mecca,Al Muzaylif,1
Daily,Cases,5/12/2020,,Eastern Region,Safwa,4
Daily,Cases,5/12/2020,,Qassim,Unayzah,1
Daily,Cases,5/12/2020,,Riyadh,Muzahmiya,2
Daily,Cases,5/12/2020,,Riyadh,Riyadh,673
Daily,Cases,5/12/2020,,Eastern Region,Qatif,3
Daily,Cases,5/12/2020,,Mecca,Mecca,283
Daily,Cases,5/12/2020,,Riyadh,Kharj,6
Daily,Cases,5/12/2020,,Riyadh,Howtat Sudair,2
Daily,Cases,5/12/2020,,Riyadh,Ad Dilam,1
Daily,Cases,5/12/2020,,Total,Total,1905
Daily,Cases,5/12/2020,,Riyadh,Howtat Bani Tamim,1
Daily,Cases,5/12/2020,,Eastern Region,Ras Tanura,2
Daily,Cases,5/13/2020,,Hail,Ha'il,3
Daily,Cases,5/13/2020,,Riyadh,Wadi Addawasir,8
Daily,Cases,5/13/2020,,Medina,Wadi Al Fara'a,4
Daily,Cases,5/13/2020,,Asir,Namira,2
Daily,Cases,5/13/2020,,Eastern Region,Jubail,5
Daily,Cases,5/13/2020,,Mecca,Thuwal,1
Daily,Cases,5/13/2020,,Asir,Khamis Mushait,3
Daily,Cases,5/13/2020,,Asir,Bisha,6
Daily,Cases,5/13/2020,,Mecca,Al Qunfudhah,10
Daily,Cases,5/13/2020,,Al Bahah,Al Qara,6
Daily,Cases,5/13/2020,,Asir,Muhayil Aseer,11
Daily,Cases,5/13/2020,,Mecca,Alhada,3
Daily,Cases,5/14/2020,,Riyadh,Wadi Addawasir,1
Daily,Cases,5/14/2020,,Eastern Region,Hufof,128
Daily,Cases,5/14/2020,,Mecca,Taif,41
Daily,Cases,5/14/2020,,Qassim,Unayzah,2
Daily,Cases,5/14/2020,,Qassim,Al Mithnab,1
Daily,Cases,5/14/2020,,Eastern Region,Salwa,1
Daily,Cases,5/14/2020,,Riyadh,Kharj,10
Daily,Cases,5/14/2020,,Northern Borders,Hazm Al Jalamid,8
Daily,Cases,5/14/2020,,Asir,Khamis Mushait,18
Daily,Cases,5/14/2020,,Medina,Khaybar,1
Daily,Cases,5/14/2020,,Asir,Thurayban,1
Daily,Cases,5/14/2020,,Al Bahah,Baljurashi,1
Daily,Cases,5/14/2020,,Jazan,Baish,25
Daily,Cases,5/14/2020,,Eastern Region,Dahran,40
Daily,Cases,5/15/2020,,Asir,Sabt Al Alayah,1
Daily,Cases,5/15/2020,,Jazan,Al Qouz,1
Daily,Cases,5/15/2020,,Riyadh,Wadi Addawasir,19
Daily,Cases,5/15/2020,,Medina,Wadi Al Fara'a,2
Daily,Cases,5/15/2020,,Al Jouf,Sakakah,1
Daily,Cases,5/15/2020,,Qassim,Al Bukayriyah,2
Daily,Cases,5/15/2020,,Qassim,Al Mithnab,5
Daily,Cases,5/15/2020,,Eastern Region,Nairyah,9
Daily,Cases,5/15/2020,,Asir,Khamis Mushait,1
Daily,Cases,5/15/2020,,Eastern Region,Bqeeq,13
Daily,Cases,5/15/2020,,Eastern Region,Hafr Al Batin,20
Daily,Cases,5/15/2020,,Eastern Region,Ras Tanura,3
Daily,Cases,5/15/2020,,Tabuk,Duba,1
Daily,Cases,5/16/2020,,Asir,Sabt Al Alayah,7
Daily,Cases,5/16/2020,,Qassim,Unayzah,1
Daily,Cases,5/16/2020,,Eastern Region,Jubail,149
Daily,Cases,5/16/2020,,Riyadh,Diriyah,4
Daily,Cases,5/16/2020,,Asir,Bisha,14
Daily,Cases,5/16/2020,,Tabuk,Umluj,3
Daily,Cases,5/16/2020,,Eastern Region,Bqeeq,6
Daily,Cases,5/16/2020,,Medina,Khaybar,1
Daily,Cases,5/16/2020,,Asir,Thurayban,2
Daily,Cases,5/16/2020,,Jazan,Baish,15
Daily,Cases,5/16/2020,,Qassim,Al Badayea,1
Daily,Cases,5/16/2020,,Medina,Medina,392
Daily,Cases,5/17/2020,,Mecca,Taif,64
Daily,Cases,5/17/2020,,Riyadh,Rumah,3
Daily,Cases,5/17/2020,,Riyadh,Kharj,9
Daily,Cases,5/17/2020,,Al Jouf,Al Hadithah Border Station,7
Daily,Cases,5/17/2020,,Eastern Region,Bqeeq,10
Daily,Cases,5/17/2020,,Riyadh,Wuthaylan,1
Daily,Cases,5/17/2020,,Eastern Region,Ras Tanura,2
Daily,Cases,5/17/2020,,Eastern Region,Dahran,34
Daily,Cases,5/18/2020,,Al Jouf,Tabarjal,1
Daily,Cases,5/18/2020,,Eastern Region,Hufof,117
Daily,Cases,5/18/2020,,Mecca,Taif,66
Daily,Cases,5/18/2020,,Northern Borders,Arar,3
Daily,Cases,5/18/2020,,Riyadh,Muzahmiya,1
Daily,Cases,5/18/2020,,Riyadh,Riyadh,730
Daily,Cases,5/18/2020,,Asir,Khamis Mushait,5
Daily,Cases,5/18/2020,,Eastern Region,Khobar,37
Daily,Cases,5/18/2020,,Asir,Muhayil Aseer,9
Daily,Cases,5/18/2020,,Mecca,Alhada,9
Daily,Cases,5/18/2020,,Jazan,Baish,6
Daily,Cases,5/18/2020,,Riyadh,Marat,1
Daily,Cases,5/19/2020,,Riyadh,Al Majmaah,8
Daily,Cases,5/19/2020,,Jazan,Al Qouz,5
Daily,Cases,5/19/2020,,Northern Borders,Arar,17
Daily,Cases,5/19/2020,,Riyadh,Shaqra,4
Daily,Cases,5/19/2020,,Riyadh,Riyadh,815
Daily,Cases,5/19/2020,,Eastern Region,Qatif,71
Daily,Cases,5/19/2020,,Northern Borders,Al Judayyidah,3
Daily,Cases,5/19/2020,,Riyadh,Kharj,1
Daily,Cases,5/19/2020,,Asir,Khamis Mushait,12
Daily,Cases,5/19/2020,,Jazan,Al Aydabi,1
Daily,Cases,5/19/2020,,Tabuk,Umluj,12
Daily,Cases,5/19/2020,,Eastern Region,Bqeeq,4
Daily,Cases,5/19/2020,,Mecca,Al Muzaylif,2
Daily,Cases,5/19/2020,,Eastern Region,Khafji,3
Daily,Cases,5/19/2020,,Tabuk,Duba,4
Daily,Cases,5/20/2020,,Medina,Yanbu,16
Daily,Cases,5/20/2020,,Eastern Region,Safwa,3
Daily,Cases,5/20/2020,,Qassim,Buraydah,144
Daily,Cases,5/20/2020,,Riyadh,Al Quwaiiyah,2
Daily,Cases,5/20/2020,,Riyadh,Muzahmiya,3
Daily,Cases,5/20/2020,,Asir,Rejal Almaa,5
Daily,Cases,5/20/2020,,Riyadh,Kharj,6
Daily,Cases,5/20/2020,,Jazan,Samtah,2
Daily,Cases,5/20/2020,,Qassim,Al Badayea,2
Daily,Cases,5/20/2020,,Asir,Tathleeth,1
Daily,Cases,5/21/2020,,Riyadh,Wadi Addawasir,4
Daily,Cases,5/21/2020,,Riyadh,Layla,1
Daily,Cases,5/21/2020,,Najran,Sharorah,8
Daily,Cases,5/21/2020,,Eastern Region,Qaryat Al Ulya,1
Daily,Cases,5/21/2020,,Eastern Region,Qatif,77
Daily,Cases,5/21/2020,,Eastern Region,Khobar,73
Daily,Cases,5/21/2020,,Riyadh,Dhurma,2
Daily,Cases,5/21/2020,,Eastern Region,Bqeeq,10
Daily,Cases,5/21/2020,,Riyadh,Ar Ruwaydah,1
Daily,Cases,5/21/2020,,Riyadh,Al Sulayyil,1
Daily,Cases,5/21/2020,,Mecca,Khulais,1
Daily,Cases,5/21/2020,,Medina,Medina,205
Daily,Cases,5/21/2020,,Jazan,Aridah,1
Daily,Cases,5/22/2020,,Asir,Sabt Al Alayah,2
Daily,Cases,5/22/2020,,Hail,Ha'il,45
Daily,Cases,5/22/2020,,Riyadh,Wadi Addawasir,4
Daily,Cases,5/22/2020,,Riyadh,Layla,1
Daily,Cases,5/22/2020,,Medina,Yanbu,20
Daily,Cases,5/22/2020,,Qassim,Buraydah,21
Daily,Cases,5/22/2020,,Al Bahah,Al Bahah,2
Daily,Cases,5/22/2020,,Eastern Region,Dammam,79
Daily,Cases,5/22/2020,,Riyadh,Al Sulayyil,2
Daily,Cases,5/22/2020,,Eastern Region,Hafr Al Batin,1
Daily,Cases,5/22/2020,,Mecca,Dhalm,1
Daily,Cases,5/23/2020,,Hail,Ha'il,12
Daily,Cases,5/23/2020,,Riyadh,Al Majmaah,1
Daily,Cases,5/23/2020,,Mecca,Rabigh,2
Daily,Cases,5/23/2020,,Jazan,Al Qouz,1
Daily,Cases,5/23/2020,,Najran,Sharorah,4
Daily,Cases,5/23/2020,,Al Bahah,Al Bahah,1
Daily,Cases,5/23/2020,,Eastern Region,Dammam,136
Daily,Cases,5/23/2020,,Riyadh,Kharj,6
Daily,Cases,5/23/2020,,Mecca,Jeddah,474
Daily,Cases,5/23/2020,,Mecca,Khulais,19
Daily,Cases,5/24/2020,,Mecca,Taif,10
Daily,Cases,5/24/2020,,Riyadh,Riyadh,765
Daily,Cases,5/24/2020,,Riyadh,Az Zulfi,1
Daily,Cases,5/24/2020,,Eastern Region,Jubail,74
Daily,Cases,5/24/2020,,Riyadh,Kharj,2
Daily,Cases,5/24/2020,,Tabuk,Umluj,3
Daily,Cases,5/24/2020,,Eastern Region,Khafji,2
Daily,Cases,5/24/2020,,Asir,Al Namas,1
Daily,Cases,5/25/2020,,Riyadh,Wadi Addawasir,2
Daily,Cases,5/25/2020,,Eastern Region,Safwa,3
Daily,Cases,5/25/2020,,Najran,Sharorah,3
Daily,Cases,5/25/2020,,Eastern Region,Qatif,31
Daily,Cases,5/25/2020,,Northern Borders,Turaif,1
Daily,Cases,5/25/2020,,Mecca,Umm Aldoom,1
Daily,Cases,5/25/2020,,Asir,Khamis Mushait,4
Daily,Cases,5/25/2020,,Mecca,Maisan,1
Daily,Cases,5/25/2020,,Eastern Region,Khobar,26
Daily,Cases,5/25/2020,,Riyadh,Howtat Bani Tamim,1
Daily,Cases,5/25/2020,,Riyadh,Dhurma,1
Daily,Cases,5/25/2020,,Jazan,Baish,10
Daily,Cases,5/25/2020,,Medina,Medina,12
Daily,Cases,5/26/2020,,Qassim,Buraydah,9
Daily,Cases,5/26/2020,,Eastern Region,Nairyah,7
Daily,Cases,5/26/2020,,Riyadh,Dhurma,2
Daily,Cases,5/26/2020,,Asir,Muhayil Aseer,1
Daily,Cases,5/26/2020,,Jazan,Jazan,2
Daily,Cases,5/26/2020,,Riyadh,Wuthaylan,1
Daily,Cases,5/26/2020,,Jazan,Aridah,7
Daily,Cases,5/27/2020,,Mecca,Taif,22
Daily,Cases,5/27/2020,,Northern Borders,Arar,2
Daily,Cases,5/27/2020,,Qassim,Buraydah,4
Daily,Cases,5/27/2020,,Eastern Region,Nairyah,1
Daily,Cases,5/27/2020,,Eastern Region,Jubail,17
Daily,Cases,5/27/2020,,Medina,Al Ais,2
Daily,Cases,5/27/2020,,Mecca,Al Muzaylif,1
Daily,Cases,5/27/2020,,Mecca,Khulais,15
Daily,Cases,5/28/2020,,Riyadh,Thadiq,1
Daily,Cases,5/28/2020,,Mecca,Taif,14
Daily,Cases,5/28/2020,,Qassim,Ar Rass,1
Daily,Cases,5/28/2020,,Al Bahah,Al Makhwa,1
Daily,Cases,5/28/2020,,Eastern Region,AL Oyoun,3
Daily,Cases,5/28/2020,,Eastern Region,Dammam,124
Daily,Cases,5/28/2020,,Eastern Region,Nairyah,2
Daily,Cases,5/28/2020,,Riyadh,Ad Dilam,2
Daily,Cases,5/28/2020,,Eastern Region,Al Jafr,2
Daily,Cases,5/28/2020,,Al Bahah,Qilwah,2
Daily,Cases,5/28/2020,,Mecca,Jeddah,251
Daily,Cases,5/28/2020,,Riyadh,Dhurma,1
Daily,Cases,5/28/2020,,Eastern Region,Dahran,13
Daily,Cases,5/28/2020,,Asir,Al Madda,1
Daily,Cases,5/29/2020,,Jazan,Al Qouz,1
Daily,Cases,5/29/2020,,Riyadh,Wadi Addawasir,3
Daily,Cases,5/29/2020,,Asir,Dhahran Al Janoub,2
Daily,Cases,5/29/2020,,Qassim,Buraydah,33
Daily,Cases,5/29/2020,,Mecca,Al Kamil,1
Daily,Cases,5/29/2020,,Mecca,Al Sehen,2
Daily,Cases,5/29/2020,,Riyadh,Kharj,2
Daily,Cases,5/29/2020,,Total,Total,1618
Daily,Cases,5/29/2020,,Mecca,Jeddah,247
Daily,Cases,5/29/2020,,Riyadh,Howtat Bani Tamim,1
Daily,Cases,5/29/2020,,Eastern Region,Hafr Al Batin,4
